probe    C8 Avg	Control Avg
1762143_s_at	6.01218	6.21557
1759122_s_at	7.10181	6.22452
1759245_s_at	2.50040	2.40610
1760398_at	2.41969	2.47160
1760625_s_at	2.39280	2.42063
1766107_s_at	3.97880	4.21709
1763131_at	2.31946	2.33207
1764102_s_at	3.58677	3.28322
1769188_s_at	2.43765	2.43104
1767818_s_at	2.39975	2.40545
1765191_s_at	7.11219	6.69327
1769259_s_at	5.30387	4.86837
1763207_s_at	3.04895	3.60119
1766175_s_at	3.17216	3.29955
1766127_s_at	2.44768	2.44664
1766034_s_at	4.16130	4.20107
1762680_at	2.82224	2.60402
1768567_s_at	2.54666	2.76712
1767660_s_at	2.37120	2.37931
1763050_s_at	4.51086	3.56974
1759214_at	2.39652	2.41335
1765900_s_at	2.68034	2.67700
1768589_s_at	4.92553	5.22471
1759211_s_at	2.40579	2.41357
1768453_s_at	2.36735	2.38163
1768467_x_at	2.40571	2.41673
1762913_s_at	3.35518	3.31511
1767084_at	2.33801	2.35220
1764972_s_at	2.49338	2.56324
1760275_s_at	2.75343	2.76239
1764120_s_at	3.39292	3.17214
1761732_s_at	3.11360	3.24143
1760685_s_at	2.38958	2.39757
1766808_s_at	2.35178	2.40134
1763994_s_at	4.26551	4.51542
1762749_s_at	2.41542	2.50984
1765734_s_at	4.10490	4.20870
1768950_at	2.35137	2.35372
1767213_s_at	5.46395	6.08566
1763183_s_at	3.47544	4.39147
1763632_s_at	2.40366	2.40565
1766625_at	2.26257	2.26101
1761202_at	3.75103	3.71030
1765568_s_at	2.37754	2.39017
1767234_at	2.38001	2.38243
1765655_s_at	7.72160	7.29381
1766168_s_at	2.33018	2.33457
1764814_s_at	5.67522	5.83490
1761342_s_at	2.35191	2.37179
1769007_s_at	2.86547	2.88001
1765981_s_at	2.47377	2.48594
1763042_at	2.46155	2.49971
1762744_s_at	2.46926	2.33768
1768236_at	2.37629	2.38852
1767057_s_at	2.41029	2.41536
1764987_at	2.31985	2.32253
1765923_s_at	2.34162	2.35035
1763730_s_at	2.34116	2.34486
1767931_s_at	2.54508	2.61081
